floor1,prob_reach_floor1,prob_complete_after_floor1,floor1_2,prob_reach_floor1_2,prob_complete_after_floor1_2,floor1_2_3,prob_reach_floor1_2_3,prob_complete_after_floor1_2_3,total,,,floor1,floor1_2,floor1_2_3
514,0.00742,0.112089883360774,979,0.00536,0.206511311307996,1585,0.01732,0.26134,2242,,,,,
518,0.01168,0.10004136818048,997,0.02202,0.12658592461451,1611,0.05175,0.09602,2293,,,,,
515,0.00819,0.10898906461665,949,0.00023,0.38480668729392,1557,0.00387,0.54722,2289,,,,,
517,0.01044,0.102965095565681,1011,0.05157,0.0808187488468186,1587,0.01894,0.25879,2294,,,,,
527,0.02903,0.0763092778586665,990,0.01341,0.154854653976002,1609,0.04831,0.09745,2258,,,,,
513,0.00662,0.115250265824372,963,0.00119,0.295960953147864,1529,0.00064,0.76786,2186,,,,,
531,0.04096,0.0671977840691001,982,0.00715,0.19156813642142,1533,0.00088,0.76307,2230,,,,,
512,0.00565,0.118470433927221,991,0.01452,0.150594000985042,1613,0.05559,0.09458,2293,,,,,
518,0.01168,0.10004136818048,996,0.02071,0.130401825468926,1546,0.00215,0.64278,2293,,,,,
507,0.00278,0.135473856768041,978,0.00487,0.211630041054027,1562,0.00526,0.49791,2274,,,,,
534,0.05189,0.0609139459038858,991,0.01452,0.150594000985042,1533,0.00088,0.76307,2265,,,,,
527,0.02903,0.0763092778586665,971,0.00265,0.249302393440592,1591,0.02273,0.22018,2278,,,,,
518,0.01168,0.10004136818048,974,0.00342,0.232771926407453,1599,0.03245,0.15219,2286,,,,,
534,0.05189,0.0609139459038858,1005,0.03643,0.0987078893913366,1598,0.03111,0.18239,2250,,,,,
531,0.04096,0.0671977840691001,1014,0.06089,0.0728056174696529,1592,0.0238,0.21899,2294,,,,,
532,0.04445,0.0650518092384121,1007,0.04063,0.0924632563358347,1589,0.02083,0.22261,2271,,,,,
533,0.04794,0.0629574035406007,986,0.00988,0.172632021468607,1598,0.03111,0.18239,2255,,,,,
531,0.04096,0.0671977840691001,1015,0.06456,0.0702681444955853,1611,0.05175,0.09602,2298,,,,,
512,0.00565,0.118470433927221,987,0.01072,0.168078041112085,1600,0.03362,0.15109,2252,,,,,
528,0.03161,0.0739511142732888,1006,0.03861,0.0955499308553405,1583,0.01589,0.30283,2275,,,,,
